City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Avarua,CK,86.0,,-21.2078,-159.775,Paradise Inn
4,Touros,BR,78.8,,-5.1989,-35.4608,INN NEW HORIZON
9,Atuona,PF,80.33,,-9.8,-139.0333,Villa Enata
12,Vaini,TO,78.8,,-21.2,-175.2,Keleti Beach Resort
14,Yaan,NG,78.8,,7.3833,8.5667,
19,Hithadhoo,MV,82.53,,-0.6,73.0833,Scoop Guest House
22,Vanimo,PG,81.91,,-2.6741,141.3028,Vahmoneh Lodge Vanimo
24,Natal,BR,80.6,,-5.795,-35.2094,Villa Park Hotel | Natal
26,Bonthe,SL,78.37,,7.5264,-12.505,Bonthe Holiday Village
29,Rikitea,PF,79.54,,-23.1203,-134.9692,Pension Maro'i
33,Puerto Ayora,EC,82.4,,-0.7393,-90.3518,Finch Bay Galapagos Hotel
34,Vadgaon,IN,81.77,,20.9402,74.8712,Hostel No 1
38,Kulhudhuffushi,MV,82.62,,6.6221,73.07,Haajy Guest House 1
44,Umm Kaddadah,SD,80.13,,13.6017,26.6876,
45,Mahibadhoo,MV,82.0,,3.7833,72.9667,Omadhoo Inn
48,Grand Gaube,MU,77.0,,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
53,Bambous Virieux,MU,77.0,,-20.3428,57.7575,Casa Tia Villa
56,Tecpan,GT,75.2,,14.7623,-90.9947,San Ricardo Restaurante y Hotel
58,Mahebourg,MU,75.2,,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
60,Saint-Pierre,RE,78.8,,-21.3393,55.4781,Lindsey Hôtel
61,Sai Buri,TH,75.63,,6.7013,101.6168,ร้าน​ เวดดิ้ง
65,Tual,ID,83.03,,-5.6667,132.75,Grand Vilia Hotel
68,Kapaa,US,79.0,,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
70,Port Blair,IN,80.6,,11.6667,92.75,Welcomhotel Bay Island Port Blair
75,Rio Branco,BR,78.8,,-9.9747,-67.81,João Paulo Hotel
83,Concordia,AR,81.0,,-31.393,-58.0209,Palmar Hotel Casino
89,Kulim,MY,79.0,,5.365,100.5618,Hotel Kulim
92,Bubaque,GW,77.77,,11.2833,-15.8333,"Casa Dora, Bubaque"
97,Mitsamiouli,KM,82.49,,-11.3847,43.2844,Foyer ADM
104,Cozumel,MX,82.4,,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
108,Butaritari,KI,81.46,,3.0707,172.7902,Isles Sunset Lodge
110,Iralaya,HN,84.2,,15.0,-83.2333,Iglesia morava renovada
112,Faanui,PF,83.61,,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
113,Saint-Philippe,RE,78.8,,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
117,Ouegoa,NC,81.18,,-20.35,164.4333,
119,Cabedelo,BR,75.2,,-6.9811,-34.8339,Hotel Pigalle
120,Arraial Do Cabo,BR,78.8,,-22.9661,-42.0278,Pousada Porto Praia
122,Sorong,ID,78.62,,-0.8833,131.25,The Waigo Hotel
124,Ugoofaaru,MV,82.63,,5.6667,73.0,Ungoofaaru Inn
125,Ibotirama,BR,85.48,,-12.1853,-43.2206,Serra do Rio Hotel
131,Port-Gentil,GA,78.8,,-0.7193,8.7815,Fengshui Residence
132,Hilo,US,84.2,,19.7297,-155.09,Hilo Hawaiian Hotel
135,Lorengau,PG,81.45,,-2.0226,147.2712,Lorengau Harbourside Hotel
142,Inirida,CO,77.2,,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
143,Mangrol,IN,78.17,,21.1167,70.1167,Hotel The Royal Honours
148,Tiarei,PF,87.01,,-17.5333,-149.3333,Le Rocher de Tahiti
149,Noumea,NC,84.2,,-22.2763,166.4572,Hôtel Le Lagon
150,Salvador,SV,87.8,,13.8333,-88.9167,Chico's Ranch
151,Georgetown,MY,79.0,,5.4112,100.3354,Cititel Penang
155,Alenquer,BR,77.0,,-1.9417,-54.7383,Josilene Castro
156,Phuket,TH,84.99,,8.0,98.25,The Surin Phuket
164,Peruibe,BR,76.32,,-24.32,-46.9983,Hotel Pousada Xapuri
166,Kroya,ID,76.95,,-7.6331,109.2461,RUSTANTO Fam
169,Innisfail,AU,81.18,,-17.5333,146.0333,Moondarra Motel
174,Padang,ID,75.2,,-0.9492,100.3543,Mercure Padang
175,Alofi,NU,86.0,,-19.0595,-169.9187,Taloa Heights
180,Mokolo,CM,81.19,,10.7398,13.8019,Diwa Hôtel
182,Caravelas,BR,75.79,,-17.7125,-39.2481,Pousada dos Navegantes
185,Buala,SB,85.01,,-8.145,159.5921,Maringe Lagoon Lodge
191,Calderitas,MX,84.2,,18.55,-88.25,Hotel Hacienda Campestre
201,Morrope,PE,75.2,,-6.5417,-80.0111,Hipolito santamaria
205,Kyabe,TD,86.43,,9.4515,18.9449,
207,Honiara,SB,84.67,,-9.4333,159.95,Heritage Park Hotel
208,Namatanai,PG,82.89,,-3.6667,152.4333,Namatanai Hotel
214,Santa Maria,BR,75.2,,-29.6842,-53.8069,Hotel Morotin
222,Mecca,SA,75.67,,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
223,Carutapera,BR,75.47,,-1.195,-46.02,Lidera
229,Gainesville,US,75.2,,29.6516,-82.3248,Holiday Inn Gainesville-University Ctr
231,Abadan,IR,75.2,,30.3392,48.3043,سالن مراسمات خانه معلم
235,Cape Canaveral,US,75.2,,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
241,Denpasar,ID,78.8,,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
250,Dicabisagan,PH,76.15,,17.0818,122.4157,Nancy Montanes Bernardo
251,Buraydah,SA,78.8,,26.326,43.975,فندق راحة السلام
253,Nhulunbuy,AU,78.8,,-12.2333,136.7667,East Arnhem Real Estate
255,Conway,US,78.01,,35.0887,-92.4421,"Country Inn & Suites by Radisson, Conway, AR"
256,Palauig,PH,79.7,,15.435,119.9045,Myhousebythesea
263,Gorontalo,ID,76.39,,0.5412,123.0595,Maqna Hotel by Prasanthi
